nombre_sensor;A;B;C;D;FBG_0;nombre_fibra;x;canal;
S1;-23.957494525641582;109259.25451216094;-166093829.58565986;84164160209.02133;0.;FBG1;0.053;1
S2;-18.899027999681454;86353.86413081491;-131523220.70053504;66773085628.16404;0;FBG2;0.043;1
S3;-6.484618799483291;29668.80165579332;-45247325.90361204;23001872137.844048;0;FBG3;0.034;1
S4;20.411235981165895;-93676.1684579524;143307187.43011534;-73077867300.21503;0;FBG4;0.022;1
S5;9.156827831383353;-42119.78507515272;64581269.90732324;-33007022561.609653;0;FBG5;0.014;1
S6;11.163753071448287;-51448.20706081547;79033186.60087448;-40469511915.12558;0;FBG6;0.007;1
S7;27.445225474476263;-126686.16215731142;194926339.76877433;-99974869817.4601;0;FBG7;0.002;1
S8;27.45356183699748;-126968.25630707123;195735943.28251788;-100583091821.90262;0;FBG8;0;1
S_int_1;-23.957494525641582;109259.25451216094;-166093829.58565986;84164160209.02133;0.;FBG1;0.053;2
S_int_2;-18.899027999681454;86353.86413081491;-131523220.70053504;66773085628.16404;0;FBG2;0.043;2
S_int_3;-6.484618799483291;29668.80165579332;-45247325.90361204;23001872137.844048;0;FBG3;0.034;2
S_int_4;20.411235981165895;-93676.1684579524;143307187.43011534;-73077867300.21503;0;FBG4;0.022;2
S_int_5;9.156827831383353;-42119.78507515272;64581269.90732324;-33007022561.609653;0;FBG5;0.014;2
S_int_6;11.163753071448287;-51448.20706081547;79033186.60087448;-40469511915.12558;0;FBG6;0.007;2
S_int_7;27.445225474476263;-126686.16215731142;194926339.76877433;-99974869817.4601;0;FBG7;0.002;2
S_int_8;27.45356183699748;-126968.25630707123;195735943.28251788;-100583091821.90262;0;FBG8;0;2
